
1889 ARKCANCO    QDX       365
1890 ARKCANCO    QDX       275
1890 YRCM        QDX       365
1891 ARKCANCO    QDX       365
1891 YRCM        QDX       365
1892 ARKCANCO    QDX       366
1892 YRCM        QDX       366
1893 ARKCANCO    QDX       365
1893 YRCM        QDX       365
1894 ARKCANCO    QDX       365
1894 LGMT        QDX       365
1894 YRCM        QDX        30
1895 ARKCANCO    QDX        92
1895 LGMT        QDX       335
1896 ARKCANCO    QDX       277
1896 LGMT        QDX       366
1897 ARKCANCO    QDX       365
1897 LGMT        QDX       365
1898 ARKCANCO    QDX       365
1898 LGMT        QDX       365
1898 MHVM        QD        153
1898 MHVM        QDX       153
1899 ARKCANCO    QDX       365
1899 LGMT        QDX       365
1899 MHVM        QD        244
1899 MHVM        QDX       244
1900 ARKCANCO    QDX       366
1900 JAMR        AF_IN     273
1900 LGMT        QDX       366
1900 MHVM        QD        365
1900 MHVM        QDX       365
1901 ARKCANCO    QDX       365
1901 JAMR        AF_IN     365
1901 LGMT        QDX       365
1901 MFBM        QD        365
1901 MHVM        QD        365
1901 MHVM        QDX       365
1902 ARKCANCO    QDX       365
1902 JAMR        AF_IN     365
1902 LGMT        QDX       365
1902 MARM        QD        183
1902 MFBM        QD        365
1902 MHVM        QD        365
1902 MHVM        QDX       365
1902 SCBM        QDX       183
1902 SMBM        QDX       273
1902 STMB        QD         30
1902 STMB        QDX        30
1903 ARKCANCO    QDX       365
1903 JAMR        AF_IN     365
1903 LGMT        QDX       365
1903 MARM        QD        365
1903 MFBM        QD        365
1903 MHVM        QD        365
1903 MHVM        QDX       365
1903 SCBM        QDX       365
1903 SMBM        QDX       365
1903 STMB        QD        365
1903 STMB        QDX       365
1904 ARKCANCO    QDX       366
1904 JAMR        AF_IN     366
1904 LGMT        QDX       366
1904 MARM        QD        366
1904 MFBM        QD        366
1904 MHVM        QD        366
1904 MHVM        QDX       366
1904 SCBM        QDX       366
1904 SMBM        QDX       366
1904 STMB        QD        366
1904 STMB        QDX       366
1905 ARKCANCO    QDX       365
1905 BIL         QDX       275
1905 JAMR        AF_IN     365
1905 LGMT        QDX       365
1905 MARM        QD        245
1905 MFBM        QD        365
1905 MHVM        QD        365
1905 MHVM        QDX       365
1905 SCBM        QDX       365
1905 SMBM        QDX       365
1905 STMB        QD        365
1905 STMB        QDX       365
1906 ARKCANCO    QDX       365
1906 BIL         QDX        30
1906 JAMR        AF_IN     365
1906 LGMT        QDX        92
1906 MARM        QD        365
1906 MFBM        QD        365
1906 MHVM        QD        365
1906 MHVM        QDX       365
1906 SCBM        QDX       365
1906 SMBM        QDX       365
1906 STMB        QD        365
1906 STMB        QDX       365
1907 ARKCANCO    QDX       365
1907 JAMR        AF_IN     365
1907 MARM        QD        245
1907 MFBM        QD        365
1907 MHVM        QD        365
1907 MHVM        QDX       365
1907 SCBM        QDX       365
1907 SMBM        QDX       365
1907 STMB        QD        365
1907 STMB        QDX       365
1908 ARKCANCO    QDX       366
1908 BVB         QDX       366
1908 JAMR        AF_IN     366
1908 MARM        QD         92
1908 MFBM        QD        366
1908 MHVM        QD        366
1908 MHVM        QDX       366
1908 SCBM        QDX       366
1908 SMBM        QDX       366
1908 STMB        QD        366
1908 STMB        QDX       366
1909 ARKCANCO    QDX       365
1909 BVB         QDX       365
1909 JAMR        AF_IN     365
1909 MFBM        QD        365
1909 MHVM        QD        365
1909 MHVM        QDX       365
1909 MREC        QD         53
1909 MREC        QDX        53
1909 NFMB        QDX        72
1909 SCBM        QDX       365
1909 SMBM        QDX       365
1909 STMB        QD        365
1909 STMB        QDX       365
1910 ARKCANCO    QDX       365
1910 BVB         QDX       365
1910 JAMR        AF_IN     365
1910 MFBM        QD        365
1910 MHVM        QD        365
1910 MHVM        QDX       365
1910 MREC        QD        212
1910 MREC        QDX       212
1910 NFMB        QDX       365
1910 SCBM        QDX       243
1910 SMBM        QDX       365
1910 SRAM        QD         61
1910 STMB        QD        365
1910 STMB        QDX       365
1911 ARKCANCO    QDX       365
1911 ARKGRNCO    QDX       365
1911 BVB         QDX       365
1911 JAMR        AF_IN     365
1911 MARM        QD        183
