Date,value,flag
2013-03-04 14:15:00.00,38.71911,
2013-03-04 14:30:00.00,38.80543,
2013-03-04 14:45:00.00,35.75068,
2013-03-04 15:00:00.00,36.9128,
2013-03-04 15:15:00.00,34.02198,
2013-03-04 15:30:00.00,31.54174,
2013-03-04 15:45:00.00,29.13289,
2013-03-04 16:00:00.00,25.76173,
2013-03-04 16:15:00.00,22.54826,
2013-03-04 16:30:00.00,19.28857,
2013-03-04 16:45:00.00,16.78089,
2013-03-04 17:00:00.00,13.67514,
2013-03-04 17:15:00.00,11.46094,
2013-03-04 17:30:00.00,10.19696,
2013-03-04 17:45:00.00,4.104146,
2013-03-04 18:00:00.00,1.742448,
2013-03-04 18:15:00.00,1.029334,
2013-03-04 18:30:00.00,0.4600012,
2013-03-04 18:45:00.00,0.1344338,
2013-03-04 19:00:00.00,0.01733145,
2013-03-04 19:15:00.00,0.005365684,
2013-03-04 19:30:00.00,0.005451395,
2013-03-04 19:45:00.00,0.007943153,
2013-03-04 20:00:00.00,0.00761767,
2013-03-04 20:15:00.00,0.009147761,
2013-03-04 20:30:00.00,0.00844634,
2013-03-04 20:45:00.00,0.007928568,
2013-03-04 21:00:00.00,0.007671629,
2013-03-04 21:15:00.00,0.008129803,
2013-03-04 21:30:00.00,0.007403196,
2013-03-04 21:45:00.00,0.00463023,
2013-03-04 22:00:00.00,0.002183379,
2013-03-04 22:15:00.00,-0.0002233824,
2013-03-04 22:30:00.00,0.001420363,
2013-03-04 22:45:00.00,0.001975694,
2013-03-04 23:00:00.00,0.001140599,
2013-03-04 23:15:00.00,-7.839276E-05,
2013-03-04 23:30:00.00,-0.001037015,
2013-03-04 23:45:00.00,-0.003482805,
2013-03-05 00:00:00.00,-0.003076079,
2013-03-05 00:15:00.00,-0.00173006,
2013-03-05 00:30:00.00,-0.005132701,
2013-03-05 00:45:00.00,-0.002993122,
2013-03-05 01:00:00.00,-0.0001409864,
2013-03-05 01:15:00.00,-0.001245054,
2013-03-05 01:30:00.00,0.001324881,
2013-03-05 01:45:00.00,-7.96359E-05,
2013-03-05 02:00:00.00,-0.002656135,
2013-03-05 02:15:00.00,-0.007429132,
2013-03-05 02:30:00.00,-0.003237466,
2013-03-05 02:45:00.00,-0.002977922,
2013-03-05 03:00:00.00,-0.004064576,
2013-03-05 03:15:00.00,-0.001177879,
2013-03-05 03:30:00.00,-0.00229093,
2013-03-05 03:45:00.00,-0.000298541,
2013-03-05 04:00:00.00,0.003674919,
2013-03-05 04:15:00.00,0.00288514,
2013-03-05 04:30:00.00,0.001851114,
2013-03-05 04:45:00.00,-0.00453175,
2013-03-05 05:00:00.00,-0.002328356,
