16, -0.1, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0
5023, 0, 0, 55, 109, 167, 225, 281, 338, 395, 453, 513, 574, 643, 713, 818, 924
5028, 0, 0, 59, 118, 181, 245, 306, 368, 432, 496, 562, 629, 707, 785, 905, 1026
5033, 0, 0, 64, 128, 196, 264, 332, 399, 469, 539, 611, 684, 770, 857, 992, 1128
5038, 0, 0, 68, 137, 210, 284, 357, 430, 506, 582, 661, 739, 834, 929, 1080, 1231
5043, 0, 0, 73, 145, 224, 302, 380, 458, 539, 621, 705, 789, 891, 993, 1157, 1320
5048, 0, 0, 76, 153, 235, 317, 399, 482, 567, 653, 742, 831, 939, 1047, 1218, 1389
5053, 0, 0, 80, 160, 246, 332, 419, 506, 595, 685, 779, 874, 987, 1100, 1279, 1459
5058, 0, 0, 84, 167, 257, 348, 438, 529, 623, 716, 816, 916, 1035, 1153, 1341, 1528
5063, 0, 0, 87, 175, 269, 363, 458, 553, 651, 748, 854, 959, 1083, 1207, 1402, 1597
5068, 0, 0, 91, 181, 279, 377, 475, 574, 676, 777, 887, 997, 1126, 1254, 1456, 1657
5073, 0, 0, 94, 187, 288, 389, 492, 594, 699, 804, 918, 1031, 1165, 1299, 1504, 1710
5078, 0, 0, 97, 193, 298, 402, 508, 614, 722, 831, 948, 1066, 1204, 1343, 1553, 1763
5083, 0, 0, 100, 199, 307, 415, 524, 633, 746, 858, 979, 1101, 1244, 1387, 1601, 1816
5088, 0, 0, 103, 206, 317, 428, 540, 653, 769, 885, 1010, 1135, 1283, 1431, 1650, 1869
5093, 0, 0, 106, 211, 325, 440, 555, 671, 790, 909, 1038, 1167, 1319, 1471, 1693, 1915
5098, 0, 0, 108, 216, 333, 451, 570, 689, 811, 932, 1065, 1198, 1354, 1509, 1732, 1955
5103, 0, 0, 111, 221, 341, 462, 584, 706, 831, 956, 1092, 1228, 1388, 1548, 1772, 1996
5108, 0, 0, 113, 226, 350, 473, 598, 723, 851, 979, 1119, 1259, 1422, 1586, 1811, 2036
5113, 0, 0, 116, 231, 358, 484, 612, 740, 871, 1002, 1146, 1289, 1457, 1624, 1850, 2076
5118, 0, 0, 118, 236, 366, 495, 626, 758, 891, 1025, 1172, 1320, 1491, 1662, 1889, 2117
5119, 0, 0, 119, 238, 367, 497, 629, 761, 895, 1030, 1178, 1326, 1498, 1670, 1897, 2125
